answer,question
Ayrıntı,Şeytanın gizlendiği yer
Kaplıca,Yerden çıkan sıcak su için yapılan hamam
Pencüse,Tavlada 5-3 gelen zar
Kahvesi,"Cezvede yapılan köpüklü sıcak içecek, türk __"
Düzayak,Bir evin sokakla hemzemin giriş katı için söylenir
Üşengeç,İçine miskinlik işlemiş kişi
Olimpik,50 metre uzunluğundaki havuz türü
Sanatçı,Yaratıcı eserleri olan kişi
Çözelti,"Şekerli su, şurup gibi örnekleri olan karışım"
Muhatap,"Diyalog kurulan, konuşulan kişi"
Sabretmek,Zor veya sıkıcı bir duruma dayanmak
Leylekler,Bacalara ve direklere yuva yapan kuşlar
Akrabadan,Sadık dost __ yeğdir
Hoşnutluk,Durumdan memnun olma; memnuniyet
Dizanteri,Bağırsakta yaralar olmasına neden olan hastalık
Hegemonya,Başkası üzerine kurulan baskı
Çekişmeli,"Son ana kadar başa baş giden, zorlu maç"
Çarketmek,Önceden söylediği sözden farklı konuşmak
Kırmızıet,Adana Kebap'ın ana malzemesi olan protein kaynağı
Içigeçmek,Fark etmeden hafif uykuya dalmak
Bütünüyle,"Tamamen, tamamıyla"
Apartopar,"Hazırlıksız bir şekilde, telaşla"
Kesimhane,Mezbaha
Iştirakçi,"Bir işe ya da olaya katılan, ortak olan"
Denek taşı,Ayarını anlamak için altının sürtüldüğü sert madde
Eş anlamlı,Aynı manayı paylaşsa da farklı yazılan sözcük
Hafifleme,"Ağırlıktan kurtulma, rahatlama"
Servisçi,Personel ve öğrenci taşımacılığı yapan esnaf
Virajlar,Bir yolun kıvrılarak yön değiştirdiği yerler
Tüketmek,"Sıfırı __, iflas etmek"
Kördüğüm,İlmiksiz boğum
Derbeder,Yaşayışı ve kılığı düzensiz; Ferdi Tayfur şarkısı
Katipler,Kurumlarda yazı işlerinden sorumlu kişiler
Ebelemek,Aynı adlı çocuk oyununda elini başkasına değdirmek
Kulakiçi,Küçük ve derine giren kulaklık türü
Çizmeler,Diz kapağına kadar çıkabilen uzun ayakkabılar
Kabartma,İnandık Vazosu bu teknikle yapılmış ilk eserdir
Itirafçı,"Suç örgütünden ayrılıp, polise herşeyi anlatan"
Akmerkez,Etiler'de yer alan lüks ve ünlü alışveriş merkezi
Çivigibi,Deniz suyunun çok soğuk olduğunu anlatan söz
Kübizm,Pablo Picasso'nun öncülerinden olduğu sanat akımı
Devrim,Türkiye'de üretilen ilk yerli otomobil
Cebeci,Osmanlı'da savaş aletleri yapan ordu mensubu
Pestil,İnce katlar halinde kurutulmuş meyve ezmesi
Günlük,Bridget Jones'a ait olanı meşhurdur
Attila,Muncuk Han'ın oğlu olan Hun imparatoru
Hormon,Salgı bezlerinin salgıladığı maddelerin genel adı
Akbaba,1922'de kurulan ünlü Türk mizah dergisi
Itırlı,Hoş kokulu
Manisa,Mesir Macunu Şenlikleri'nin yapıldığı şehir
Gripin,Birol Namoğlu’nun solistliğini yaptığı müzik grubu
Aseton,Oje silmede kullanılan sıvı
Yazıcı,Bilgisayardan çıktı alma cihazı
Ilgama,Atı dörtnala sürme
Etiket,İndirimler burada yazan fiyat üzerinden yapılır
Bazardüzü,Azerbaycan'ın en yüksek dağı
Ara bulucu,İki taraf arasındaki anlaşmazlığı bu kişi çözer
Mina urgan,Bir Dinozorun Anıları kitabını yazan ünlü filolog
Afallamak,"Ağzı açık kalmak, şaşkınlıktan serseme dönmek"
Kaz adımı,Resmi geçitte dizi kırmadan yapılan asker yürüyüşü
Brezilya,Rio Karnavalı'na ev sahipliği yapan ülke
Dekstroz,Mısır nişastasından üretilen şeker
Çıraklık,"Zanaatkar için kalfalıktan önceki dönem, yamaklık"
Yusuf ağa,Konya'da nadide kitapların yer aldığı kütüphane
Burak kut,1994 çıkışlı Benimle Oynama şarkısının yorumcusu
Diksiyon,Kelimelerin kurallara uygun telaffuz edilmesi
Bataklık,İçine girenin gömüldüğü çamurlu bölge
Konserve,Cam veya teneke kutuda havasız saklanan gıda ürünü
Istasyon,Raylı taşıt durağı
Kefalet,Borcun mesuliyetine ortak olma
Iridyum,Simgesi Ir olan radyoaktif element
Beldibi,Antalya'nın Kemer ilçesinde yer alan mağara
Guguklu,İçindeki kuşun öterek zamanı bildirdiği saat türü
Asonans,Ahenk için şiirde ünlü harflerin tekrar edilmesi
Heyelan,Toprak kayması
Gür akad,Kurtalan Ekspres grubuyla bilinen ünlü gitarist
Ateşkes,Savaşan kuvvetlerin çarpışmaya ara vermesi
Türkiye,2010 Dünya Basketbol Şampiyonası bu ülkede yapıldı
Nairobi,"Kenya'nın başkenti, La Casa de Papel'de adı geçer"
Bariton,Orta kalınlıktaki erkek sesi
Baharat,Yemeklere aroma katmak için kullanılan madde
Kennedy,İsmi New York'ta havalimanına verilen ABD başkanı
Sintine,Gemilerde dışarıdan gelen suyun toplandığı kısım
Aksiyon,Nefes kesen film türü
Manyeto,İçinde mıknatıslı demir olan bir elektrik üreteci
Karides,Cipsi de yapılan kabuklu deniz hayvanı
Turuncu,Portakal rengi
Günberi,Dünya Güneş'e en çok bu noktada yakınlaşır
El hamra,İspanya'da yer alan Endülüs dönemine ait saray
Antrepo,Gümrük deposu
Kadılar,Osmanlı döneminde adaletten bu kişiler sorumluydu
Palmiye,Hurmanın yetiştiği ağaç türü
Kadıköy,Haydarpaşa Garı'nın bulunduğu ilçe
Şemsiye,Hem yağmurdan hem güneşten koruyan eşya
Andırmak,"Birine benzemek, onu hatırlatmak"
Optimist,"İyiye yoran, iyimser"
Kurt adam,Dolunayda insanlıktan çıkar!
Ibni sina,"Metafizik kitabının yazarı, astronom, tıp insanı"
Gol kralı,Aziz Nesin romanından uyarlanan Kemal Sunal filmi
Av köpeği,"İyi koku alan, vurulan hedefi alıp getiren hayvan"
Komposto,"Meyveleri kaynatarak yapılan içecek, hoşaf"
Kestirme,Yolculuk mesafesini kısaltan alternatif yol
Davetiye,Evlenecek kişiler misafirlere bunu gönderir
Hamurpet,Muş'ta yer alan Akdoğan Gölü'nün diğer adı
Artık yıl,365 gün yerine 366 günün yaşandığı zaman
Gözlemci,Spor müsabakalarını izlemekle görevli kimse
Serotonin,Mutluluk hormonlarından bir tanesi
Beylikova,Sütü ile tanınan Eskişehir ilçesi
Cana yakın,"Karşısındaki kişide sevgi uyandıran, sempatik"
Hızlı şarj,Telefonun pilini kısa sürede dolduran teknoloji
Jeotermal,Yeraltı sularından elde edilen enerji türü
Mumyalama,Antik Mısır'da kullanılan naaş koruma yöntemi
Portmanto,Ceket gibi eşyaları bırakmak için yapılan dolap
Can dostum,Robin Williams'ın Oscar kazandığı film
Maden suyu,İçinde doğal mineraller barındıran gazlı içecek
Barometre,Evangelista Torricelli’nin icadı olan ölçek
Kavuklu,Orta oyununda Pişekar'ın ekürisi
Açacına,Hiçbir şey yemeden
Şiirsel,"Şairlere yakışacak nitelikte, lirik"
Tiryaki,"Çay, kahve düşkünü"
Beleşçi,Hep boş kaleye gol atan futbolcuya denir
Vızıltı,Sivrisineğin çıkardığı gürültü
Kıtlama,Erzurumlular'ın çayı tatlandırma biçimi
Ziyaret,Görmeye gitme
Diremek,"Ayak __; Bir konuda inat etmek, kabul etmemek"
Semaver,"Odun kömürü ile ısınan, musluklu çaydanlık"
Tahliye,Çoğu mahkum şartlı olanına bile razıdır
El ayası,Avucun iç kısmı
Cep faresi,"İnsanların cüzdanlarını çalan kişi, yankesici"
Imkanıyok,"""Mümkün değil"", ""Olanaksız"" anlamında bir söz"
Muazzez,"Nostaljik şarkıları ile bilinen şarkıcı, __ Ersoy"
Cehalet,Eğitimle giderilen bilgisizlik
Kara çalma,"Birisine çamur atma, suçsuz kişiyi suçlama"
Badminton,İki raket ve bir tüylü top ile oynanan spor
Hemşire,Kız kardeş anlamına da gelen sağlık mesleği
Yanılgı,"Doğruyu yanlış, yanlışı doğru sanma durumu"
Kolonyalı,Restoranlarda verilen mendil türü
Apart otel,Odalarında mutfak bulunan turistik tesis
Odaspreyi,Ev deodorantı
Durgunluk,Piyasada ticari işlem sayısının azalması
Oyunculuk,Şener Şen ve Türkan Şoray'ın yaptıkları iş
Ozan güven,Cem Yılmaz'ın filmlerinde Robot 216'yı oynadı
Doküman,"Bir konuda derlenmiş belge, vesika"
Firavun,Antik Mısır'ın tanrısal krallarının ünvanı
Taarruz,"İleri doğru atılarak yapılan saldırı, hücum"
Hayalet,Başrollerde Demi Moore ve Patrick Swayze oynadı
Kupkuru,"Ufacık neme, suya muhtaç"
Iplemek,"Argo dilinde, saygı göstermek, ciddiye almak"
Artemis,Apollon'un ikiz kardeşi olan ay tanrıçası
Toraman,"Tosun, iri kıyım genç"
Gezegen,Bir yıldızın yörüngesinde dolaşan gökcismi
Yumurta,Kimilerinin soymadan önce tokuşturduğu yiyecek
Pendik,Sabiha Gökçen Havalimanı'nın bulunduğu ilçe
Manita,Argo dilinde sevgili anlamında kullanılan kelime
Eşdost,"Tanıdık insanlar; arkadaşlar, komşular, akrabalar"
Şalter,Elektrik akımını açıp kapamaya yarayan kol
Alıntı,Başkasına ait bir cümleyi kendi yazısında kullanma
Devlet,"__ memuru, kamu görevlisi"
Kız evi,Naz hanesi olarak da bilinir
Levrek,"Genelde tavada pişirilen pullu, iri balık"
Salako,Kemal Sunal ve Meral Zeren'in olduğu Türk filmi
Birsel,"Avrupa Yakası dizisinin senaristi, Gülse __"
Bencil,Dünyada sadece kendisi varmış gibi davranan
Madeni,Kağıt olmayan para tipi
Sakatlık,Sahada sert darbe alan futbolcunun geçirdiği süreç
Diplomat,Dış politikada ülkesini temsil eden kişi
Sınırsız,Hiçbir limiti olmayan
Mükremin,Bir Demet Tiyatro'nun delikanlısı
Kabadayı,2007 yapımı Yavuz Turgul filmi
Savcılık,Kamu davalarını açma yetkisi bulunan makam
Ezgi mola,Kocan Kadar Konuş filminin başrolü
Kalfalık,Çıraklık ile ustalık arasındaki dönem
Işe yarar,"Uygun, kullanışlı"
Isabetli,Hedefi tutturan atış
Kovulmak,İşten çıkarılmak; Bir yerden defedilmek
Muhakkak,"Kesin olarak, kesinlikle"
Golyemek,Kalecilerin en büyük korkusu
Alakadar,Biriyle ya da bir konuyla ilgili olan
Hükümdar,"Bir ülkeyi tek başına yöneten kişi, kral"
Derebeyi,Feodal sistemdeki toprak sahibi; kont
Hipokrat,Doktorların mesleğe başlamadan önceki yemini
Göz hakkı,Bir yemeği görene düşen pay
Loıslane,Superman'in sevgilisi olan gazeteci
Dalavere,Hileyle gizlice görülen kötü niyetli iş
Platform,"Konserlerde, etkinliklerde sahnenin kurulduğu yer"
Havaüssü,Savaş uçaklarının inip kalktığı askeri bölge
Muhterem,"__ Nur, Müslüm Gürses'in biricik aşkı"
Lokum gibi,Adını bir Türk tatlısından alan benzetme; yumuşak
Iş aramak,İnsanların kariyer sitelerine girme nedeni
Kayserili,Karagöz Oyunu'ndaki pastırmacı
Topuk pası,Ayağın arkasıyla takım arkadaşına top iletmek
Bantlamak,Paketin ağzını yapışkan şerit kullanarak kapatmak
Tutuklama,Tevkif etme
Amsterdam,Hollanda'nın özgürlükler şehri
Ümit besen,Nikah Masası'nın bestecisi olan piyanist şantör
Deneytüpü,Laboratuvarda kullanılan ince uzun şişe
Kel behzat,Ana dizisinde Dursun Ali Sarıoğlu'nun karakteri
Avaçıkmak,Eline tüfek alıp yabani hayvan öldürmeye gitmek
Genişleme,Hacim olarak büyüme
Özel radyo,"Kent FM, Türkiye'de bunun ilk örneğidir"
Bir efsane,Hakan Peker'in ilk albümü
Endoskopi,Sindirim sistemine ağızdan girilerek yapılan işlem
Ayan beyan,"Apaçık bir şekilde olan, gizli bir yanı bulunmayan"
Entrika,"Yerli dizilerin vazgeçilmez unsuru, dalavere"
Paçanga,Pastırmalı ve kaşarlı sigara böreği
Riyakar,İki yüzlü
Bandana,Başın etrafına sarılan üçgen bez parçası
Alüvyon,Nehirler tarafından oluşturulan birikinti
Bir anda,"Aniden, çabucak anlamlarına gelen söz"
Kapital,"Ticareti döndüren anapara, sermaye"
Diyalog,Çift yönlü iletişim
Emniyet,"__ kemeri, kazada hayat kurtaran kemer"
Sulukule,Gırgıriye'de mekan olarak kullanılan semt
Arabesk,Müslüm Gürses ve Ferdi Tayfur'un icra ettiği müzik
Bergüzar,"__ Korel, Halit Ergenç'in oyuncu eşi"
Aksesuar,Kombini tamamlamak için kullanılan parça
Dalkavuk,Çıkar bekleyerek karşısındakine yaranmaya çalışan
Boşaalma,Otomobilin vites kolunu ortaya getirme
Kral kaya,Amasya'da Harşena Dağı eteklerindeki anıt mezarlar
Maaş günü,Bordrolu personelin ödeme alma vakti
Lime lime,"Parçalarına ayrılı, parça parça"
Margarin,Katı bitkisel yağ
Melodika,Üzerinde tuşları olan üflemeli çalgı
Muavin,Resmi dairelerde müdürden sonra gelen idare memuru
Abluka,"Bir yerin ya da ordunun etrafını sarma, kuşatma"
Ihanet,"Güveni suistimal etme, sadakatsizlik"
Ibrikçi,Bizimkiler dizisinde Cenap Bey'in ev arkadaşı
Pankek,Krepin daha küçük ve kalın hali
Rastık,Mahmure'nin şarkıda çektiği simsiyah boya
Panzer,Polisler tarafından kullanılan zırhlı araç
Kritik,Eleştiri
Minder,Güreş ringi
Blazer,Metal düğmeli spor ceket
Tembel,Ders çalışmayan öğrenci unvanı
Gevşek,Sıkıca bağlanmamış olan; sıkıştırılmamış
Iş emri,Kurumsal buyruk
Indeks,Kitabın sonundaki yönlendirici kelime listesi
Tiramisu,Üstü kahve kaplı popüler tatlı
Raşitizm,6-18 aylık çocuklarda görülen kemik hastalığı
Aradabir,"Her zaman değil, bazen"
Yavrucuk,"Sumru __, Yabancı Damat dizisinin Türk annesi"
Fukuşima,2011'de sızıntı yaşanan Japon nükleer santrali
Rasyonel,Akla ve mantığa uygun hareket eden
Alacaklı,Birinin borçlu olduğu kişi
Asteriks,Hopdediks'in en yakın arkadaşı
Enteresan,"İlginç, hayli farklı durum"
Izolasyon,Mantolama işleminde binanın dış cephesine yapılır
Anaerkil,Toplumsal düzende kadının etkin olma hali
Narkoz,Ameliyat öncesi hastanın uyuşturulması
Kolpaçino,Şafak Sezer'in Özgür'ü oynadığı film serisi
Akordiyon,Körüklü bir müzik enstrümanı
Galibiyet,Bir spor karşılaşmasında kazanma
Akreditif,Bir kişi için yazılmış kredi mektubu
Nakliyeci,Taşımacılık işi yapan kimse
Idare etme,"Orta yolu bulma, suyuna gitme"
Ümit erdim,Hayat Bilgisi'nde Arif karakterini oynadı
Hipotenüs,Dik üçgenin en uzun kenarı
Alacain,Denizli'nin Acıpayam ilçesinde yer alan ören yeri
Susamak,Mecazen büyük bir özlemle istemek
Isıtmak,Soğuk birşeyin sıcaklığını artırmak
Yara bandı,Vücuttaki kesiklerin üzerine konan ilaçlı şerit
Samatya,İkinci Bahar dizisinin çekildiği yer
Salopet,"Askılı tek parça giysi, tulum"
Chaplın,"Charlie __, nam-ı diğer Şarlo"
Omuzdaş,"Aynı amaçla, kol kola hareket edenlerin her biri"
Sıçrama,Aniden zıplayarak kısa süreli havada kalma olayı
Gırtlak,Mecazi borca batma ölçütü; ümük
Taburcu,İyileşmesi nedeniyle hastaneden çıkarılan
Akrilik,Su bazlı boyaya verilen ad
Etnolog,İnsan ırklarının kökenlerini araştıran uzman
Gönülsüz,__ yenen aş ya karın ağrıtır ya baş
Geronımo,Beyazlara karşı mücadele eden kızılderili lideri
Santrfor,Genelde bitirici vuruşu yapan futbolcu
Elastiki,Esneyebilen; esneyebilme özelliğine sahip olan
Pesimist,"Dünyadan umudunu kesmiş, kötümser"
Hükümsüz,Gazeteye kayıp ilanı verirken kullanılan sıfat
Suç aleti,Bir cürmün işlenmesinde kullanılan araç
Son durak,Ölümden kaçan gençleri anlatan ünlü film serisi
Kontrast,TV'de renk ve parlaklık ayarının hemen yanındadır
Ilkdevre,Maçın birinci yarısı
Zeka yaşı,Zihinsel yetiyi sınayan testler yoluyla ölçülür
Marjinal,"Aşırı uç, aykırı anlamındaki Fransızca kökenli söz"
Müneccim,Yıldızlara bakarak gelecek tahmini yapan kimse
Francala,İnce uzun Fransız ekmeği
Yönelteç,"İstikamet belirlemeye yarayan araç, direksiyon"
Haysiyet,"Gurur, onur, kendine olan saygı"
Kavimler,"__ Göçü, Roma İmparatorluğu'nu ikiye ayırdı"
Sondajcı,Petrol arama çalışması yapan meslek erbabı
Tarafsız,Hiçbir fikri ya da yönü desteklemeyen
Kuyruklu,Devamında başka yalanlar da olan yalan türü
Veganlık,Hayvansal gıdanın tüketilmediği beslenme biçimi
Çoraplar,Ayakları sıcak tutan ayak giysileri
Dışpazar,İhracatçıların satış yaptığı piyasa
Yeniçeri,Osmanlı'da devşirmeyle oluşturulan asker sınıfı
Özetleme,"Bir konuyu, olduğundan kısa şekilde anlatma"
Uçlanmak,"Argoda borcunu ödemek, para vermek"
Otobüsçü,Şehirler arasında yolcu taşımacılığı yapan şoför
Gamzeler,Özellikle gülünce fark edilen yanak çukurları
Oligarşi,Siyasi gücün birkaç kişide olduğu sistem
Içhatlar,Yerel uçuşlarda kullanılan havaalanı terminali
Korkaklık,"Sıklıkla ürkme, dehşete kapılma durumu"
Mücevher,Kıymetli taşlardan yapılan süs eşyası
Esasduruş,Askerlere hazır ol dendiğinde geçtikleri pozisyon
Yalnız efe,Ana karakteri Kezban olan Ömer Seyfettin öyküsü
Han sarhoş,"__ Hancı Sarhoş, Mahsuni Şerif'in ünlü türküsü"
Meyve suyu,Kahvaltı menüsünde çaya alternatif olarak yer alır
Emin olmak,Hiçbir şüphe duymamak; kesin olduğunu düşünmek
Üçkağıtçı,"""Bul karoyu al parayı"" diye seslenen dolandırıcı"
Sismoloji,Deprem bilimi
Yaralı yüz,Al Pacino'nun Tony Montana'yı oynadığı ünlü film
Kötü huylu,"İlerleme eğiliminde, habis tümör için kullanılır"
Ilanetmek,"Bir olayı yaymak, duyurmak"
Uçurmak,Pilotların uçakla ilgili temel görevi
Alçıpan,Tavan süslemelerinde kullanılan bir malzeme
Ufalmak,Boyut olarak küçülmek
Yürüteç,Hareket etmekte zorlananlar ilerlemekte kullanır
Yılışık,Laubali; arsız
Halojen,İyot elementlerine verilen genel ad
Dönence,"Güneydekine Oğlak, kuzeydekine Yengeç denen enlem"
Çabucak,"Bir çırpıda, hemen"
Statüko,Sürmekte olan fiili ve hukuki durum
Ekletme,İlave ettirme
Simgeci,"Hayatın sırrını sembollerde arar, sembolist"
Anlatım,Dile getirme işi; ifade
Üretken,Devamlı yeni eserler çıkaran sanatçı; verimli
Demleme,Zaman alan çay pişirme yöntemi
Ikaz etmek,Bir konu hakkında uyarmak
Yankesici,Hissettirmeden cüzdan çalan hırsız
Aletolmak,"Bilmeden, kötü bir amaca hizmet etmek"
Teknisyen,Meslek lisesi mezunu olan kişinin aldığı unvan
Duraklama,Müsabakaya bir nedenle verilen kısa ara
Açıkpazar,"Herkesin ticaret yapabildiği, gümrüksüz piyasa"
Harpokulu,Lisans seviyesinde askeri eğitim veren kurum
Kara mizah,Ciddi konuları komikleştirip eleştiren sanat
Güneyasya,"Bangladeş, Nepal ve Hindistan'ın bulunduğu bölge"
Izne çıkma,Çalışılan yerden bir süreliğine tatil için ayrılma
Deniz suyu,Burun tıkanıklığını gidermek için kullanılan sıvı
Inatçılık,Keçiyle özdeşleştirilen olumsuz nitelik
Can bonomo,Meczup şarkısının sahibi
Zahmetsiz,"Kolayca yapılan, az emek gerektiren"
Vukuat,"Polisi ilgilendiren olay, suç"
Sarraf,"Altın, banknot, tahvil alım satımı yapan kişi"
Serkeş,"Dik kafalı, burnunun dikine giden"
Komplo,Birine karşı yürütülen gizli plan
Kıvrak,"Akıcı, işlek zekayı tanımlayan bir sıfat"
Divane,Yaşar'ın 1996 çıkışlı çok satan albümü
Ritmik,Bir jimnastik türü
Uyaklı,"Şiirde mısra sonu uyumunu yakalamış, kafiyeli"
Morfin,Çok güçlü bir ağrı kesici ve sakinleştirici ilaç
Tiktak,Akrep ve yelkovanın hareket ederken çıkardığı ses
Blokaj,"Birinin banka hesabına engel koymak, el koymak"
Su gibi,"Zaman __ aktı, çok çabuk geçti"
Atyarışı,Ganyancıların takip ettikleri müsabaka
