answer,kategori,question
Kayısı,,Malatya ile özdeşleşmiş meyve
Florence,,"Modern hemşireliğin kurucusu, __ Nightingale"
Garnitür,,Et yemeklerinin yanında verilen sebze
Mikoloji,,Mantar bilimi
Su aygırı,,Afrika nehirlerinde rastlanan iri yapılı memeli
Sandalye,,Üstüne oturulan bir gereç
Akyıldız,,Gece gökyüzündeki en parlak cisim; Sirius
Doğramak,,Parça parça kesmek
Levazım,,Ordunun lojistik ihtiyacını karşılayan sınıf
Berabere,,Maç skoru olasılıklarından biri
Mineral,,Vücudun ihtiyaç duyduğu inorganik madde türü
Galaksi,,Gök ada
Kartela,,Boya veya kumaş kataloğu
Denetçi,,"İşin doğru yapıldığını teftiş eden kişi, murakıp"
Galeyan,,"Çoşma, yerinde duramama durumu"
Serbest,,Güreş sporunda bir stil
Bilmece,,Türlü kelime oyunlarıyla sorulan oyun amaçlı soru
Yüceses,,"BBC'de program yapmış ses sanatçısı, Hamiyet __"
Jelatin,,Sıfır ürünün üzerindeki ince ve şeffaf kaplama
Kuşbaşı,,Etin bir doğranış şekli
Yaramaz,,Hareketli ve söz dinlemeyen çocukları tanımlar
Rafadan,,Az kaynatılmış yumurta
Anatomi,,İnsanın tüm yapılarıyla ilgilenen bilim dalı
Meraklı,,"Perihan Abla'nın unutulmaz karakteri, __ Melahat"
Şinasi,,Şair Evlenmesi oyununun yazarı
Masraf,,Bir iş için harcanan para
Kapalı,,Samsun'da pide bu şekilde yapılır
Sürgün,,Bir bitkiden yeni çıkmış olan filiz
Sağaltım,,Tedavi
Papağan,,Bazı türleri konuşabilen kuş türü
Biatlon,,İki aşamalı bir kış olimpiyatları sporu
Uvertür,,Operada perde açılmadan önce çalınan müzik
Köprülü,,"__ Kanyon, Manavgat'taki rafting alanı"
Yazlık ev,,Tatillerde gidilen kişisel mülk
Küçük ayı,,Kutup Yıldızı'nı barındıran takım yıldız
Bandırma,,Manyas Kuş Cenneti bu ilçededir
Satılık,,Para karşılığında başkasına verilecek olan eşya
Sami yetik,,Anadolu’da Köylüler tablosunu yapan ressam
Sarımsak,,Doğal antibiyotik sayılan bir sebze
Bonservis,,Sözleşmesi süren futbolcuyu almanın ek bedeli
Iskender,,Bursa yöresinin meşhur yemeklerinden bir tanesi
Bıngıldak,,Bebeklerde kafatasının kemikleşmeden önceki hali
Bikini,,İki parçalı kadın mayosu
Kanada,,En uzun sahil şeridine sahip ülke
Terhis,,Askerlik görevinin bitmesi ile serbest bırakılmak
Aborda,,Teknenin bir iskeleye yanaşması
Mendil,,Özellikle burun silmeye yarayan bez aksesuar
Yukarı,,"Binlerce balonun bir evi uçurduğu film, __ Bak"
Kısmen,,"Tamamen değil, bir bölümü ile anlamındaki kelime"
Jülyen,,Yiyecekleri ince uzun şekilde doğrama biçimi
Hafıza,,"Beynin hatırlayan bölümü, bellek"
Yazıcı,,Bilgisayardaki metni kağıda döken araç
Yelken,,Tekneyi rüzgar gücüyle kullanmaya dayalı spor
Şavşat,,Artvin'de Karagöl'ün bulunduğu ilçe
Kerime,,Eski dilde kız evlat
Bodrum,,Halikarnas Balıkçısı'nın yaşadığı yer
Körebe,,Kapalı gözle oynanan yakalamaca oyunu
Korvet,,Denizaltılar için silahlandırılmış savaş gemisi
Musluk,,Suyun akış hızını ayarlayan vana
Broşür,,Kurumla ilgili bilgi veren kitapçık
Eşkıya,,1996 yapımı Yavuz Turgul filmi
Piyano,,İdil Biret ve Fazıl Say bunu çalar
Dakika,,Saatin altmışta biri
Mualla,,"Ünlü Türk ressam, Fikret __"
Safkan,,Soyağacı tamamen aynı ırktan oluşan at
Katmer,,Gaziantep'in kaymakla yapılan hamur tatlısı
Avukat,,Başkalarının haklarını savunan meslek unvanı
Kamyon,,Motorlu bir yük taşıtı
Bastille,,Fransız İhtilali'nin başladığı hapishane
Beatrice,,Dante'nin ilham perisi
Komposto,,Meyvelerin suyla kaynatılmasıyla yapılan içecek
Masaüstü,,Bilgisayar açıldıktan sonraki ana ekran
Janjanlı,,Hareket ettikçe çeşitli renklerde parlayan kumaş
Söyletme,,"Açtırma kutuyu, __ kötüyü"
Kampanya,,Bir dönemde yapılan indirimli satış
Acı biber,,"Urfa dürümü, Adana dürüme dönüştüren baharat"
Anakonda,,En ağır yılan türü
Mürekkep,,Yazı yazmaya yarayan renkli sıvı madde
Beyblade,,Topaç benzeri oyuncaklarıyla ünlü çizgi film
Dizi film,,"Çukur, Jet Sosyete gibi programların genel adı"
Savcılık,,İddianame hazırlayan adli birim
Ambiyans,,"Bir ortamdaki atmosfer, hava"
Ev sahibi,,Misafir ağırlayan kişi
Uyarlama,,Yabancı bir dizinin yerli versiyonunu yapma
Sindirim,,Alınan besini kana karışacak hale getiren sistem
Platonik,,Bu tür aşklar tek taraflı hislerle yaşanır
Akmansoy,,"Nuri Kantar karakterini oynayan aktör, Tekin __"
Naçizane,,"""Haddime değil ama"", tavsiye verirken söylenir"
Salıncak,,"İki ucundan asılı, ileri geri giden eğlence aracı"
Objektif,,Fotoğraf makinasının olmazsa olmazı
Tasarruf,,Parayı boşa harcamayıp biriktirme
Strateji,,Age of Empires bu türde bir video oyunudur
Deplasman,,Rakip takım sahasının bulunduğu yer
Bugs bunny,,Havuç sever çizgi film kahramanı
Kokulu mum,,"Vanilyalı, böğürtlenli çeşitleri olan ışık kaynağı"
Balkanlar,,Türkiye sınırının batısında yer alan bölgenin adı
Havaalanı,,Uçakların yerdeki buluşma noktası
Domdom ali,,Feridun Şavlı'nın Hababam Sınıfı'ndaki karakteri
Şekerleme,,Kısa ve hafif uyku
Astroloji,,Yıldız hareketlerini yorumlama işi
Mevzuat,,Yürürlükte bulunan yasal düzenlemelerin tümü
Firdevs,,Aşk-ı Memnu'da Bihter'in annesi
Seyahat,,"Bir yerden bir yere gitme, yolculuk"
Demonte,,Kurulumu henüz yapılmamış olan
Ekvator,,Kuzey ve Güney yarım küreyi ayıran hayali çizgi
Zapping,,Televizyon kanallarını değiştirip durmak
Mayonez,,Sıklıkla ketçapla kullanılan beyaz renkli sos
Postacı,,"Mektup, tebligat gibi şeyleri adrese götüren kişi"
Baharat,,Yemeklere tat veren taze veya kuru madde
Allegro,,Çabuk ve hareketli tempo işareti
Mihrimah,,Hürrem Sultan'ın tek kızı
Saraciye,,Deri malzeme kullanarak çanta yapma işi
Reklamcı,,Ürün veya markaların tanıtım emekçisi
Pazarlık,,Alışverişte fiyatı düşürme görüşmesi
Kerpeten,,Bir yere çakılı çiviyi çekmek için kullanılan alet
Akçakoca,,Düzce'nin turistik sayfiye ilçesi
Elektron,,Negatif yüklü atomaltı parçacık
Öğütleme,,"Nasihat etme, salık verme"
Salamura,,"Zeytin, peynir ve asma yaprağını saklama şekli"
Prömiyer,,Bir tiyatro oyununun ilk sahnelenişi
Yükseklik,,Fizikte h ile gösterilen kavram
Bitpazarı,,Eski eşyaların satılıp alındığı yer
Adrenalin,,Heyecan ve korku durumunda salgılanan hormon
Imitasyon,,Bir şeyin taklit amaçlı yapılmış benzeri
Konyaaltı,,Antalya'nın plajı ile ünlü merkez ilçesi
Alıştırma,,Bir beceriyi kazanabilmek için yapılan tekrar
Azra kohen,,"Fi, Çi ve Pi üçlemesinin yazarı"
Itfaiyeci,,Yangın savaşçısı
Tertip,,Aynı dönemde askere gidenler birbirine böyle der
Defolu,,Kusurlu olduğu için ucuza satılan kıyafet
Süzgeç,,Bir gıdayı suyundan ayıran delikli araç
Sağmal,,Süt veren hayvanlar için kullanılan sıfat
Komite,,Belli bir amaç için yetkilendirilmiş alt grup
Islama,,Adapazarı'nın meşhur köftesi
Eksper,,Değerleme uzmanı
Poyraz,,Kuzeydoğudan esen soğuk rüzgar
Halıcı,,"İlk renkli Türk filmi, __ Kız"
Dilaltı,,Tansiyonu hızla düşürmek için emilerek alınan ilaç
Perçem,,"Saçın öne bırakılan küçük parçası, kakül"
Ametist,,Mor renkte yarı değerli bir taş
Paravan,,"Odayı bölümlere ayıran ahşap, katlanabilir perde"
Sadakat,,Başkasına duyulan bağlılık
Ejderha,,Hayali dev vahşi hayvan
Işıl aksoy,,"Saadet __, Penelope Cruz'la aynı filmde oynadı"
Muz orta,,Futbolda havadan falsolu pasa denir
Közleme,,Çevire çevire yapılan bir pişirme türü
Inanmak,,Söylenilen bir yalanı gerçek sanmak
Avrasya,,İstanbul'da su altından araç ile geçilen tünel
Doctor who,,1963 yılından beri yayında olan BBC dizisi
Hindistan,,Köri sosun ana yurdu
Gösteri,,Sahne şovlarından oluşan eğlence
Konakri,,Gine adlı Batı Afrika ülkesinin başkenti
Müdüriyet,,Bir işletmenin yönetim makamı
Suç ve ceza,,Raskolnikov'un öyküsünü anlatan Dostoyevski romanı
Denizaltı,,Suyun derinliklerine inebilen savaş gemisi
Geliyorum,,Kaza __ demez
Bukalemun,,"Dili, vücudundan iki kat daha uzun olan sürüngen"
Manikürcü,,Kuaförlerde el bakımı görevlisi
Rövaşata,,"Tabutta __, Derviş Zaim'in bol ödüllü filmi"
Iğnelemek,,"Üstü kapalı, gücendirici laf söylemek"
Peştamal,,İnce hamam havlusu
Marangoz,,Ağaçtan eşyalar yapan usta
Şafak kaç,,Askerde kalan gün sayısını öğrenmek için sorulur
Tektonik,,Yer kabuğunun hareketlerini inceleyen jeoloji kolu
Başhekim,,Hastaneyi yöneten doktor
Portakal,,"Adana'da düzenlenen festival, __ Çiçeği Festivali"
Kahraman,,Kurtuluş Savaşı'ndan sonra Maraş'a verilen ünvan
Kurabiye,,"Çay saati atıştırmalığı, tatlı veya tuzlu olabilir"
Enjektör,,Sıvıları vücuda zerk etmekte kullanılan araç
Solaryum,,Güneşsiz bronzlaştırma merkezi
Seslenme,,Hitapta bulunma; dikkat çekmek için çağırma
Otomobil,,Ulaşım için kullanılan bir çeşit motorlu taşıt
Korkuluk,,Tarlayı kuşlardan korumak için kullanılan manken
Müsabaka,,Spor karşılaşması
Saksağan,,"Kargagillerden, hırsızlığıyla tanınan bir kuş"
Karavan,,Gezgin ev
Stephen,,"__ King, Amerikalı gerilim ve korku romanı yazarı"
Gecelik,,Yatarken giyilen elbise pijama
Vanilya,,Tatlılarda kullanılan aromatik bir baharat
Botanik,,Bitkiler alemini inceleyen bilim dalı
Akdeniz,,Türkiye'nin güneyinde bulunan bölge
Blender,,Yiyecekleri doğrayıp karıştıran mutfak aracı
Sigorta,,Elektrik tesisatının güvenliğini sağlayan anahtar
Kestane,,Kebabı da yapılan yemiş
Kantin,,Okullarda bulunan büfe
Iç dökme,,Duygu ve düşüncelerini uzun uzun paylaşma
Analog,,Dijital öncesi döneme ait olan
Bahşiş,,Yeme içme sonrasında hesaba ek olarak verilen para
Yastık,,Uyurken başın altına konulan minder
Iyonya,,Ege kıyılarına yerleşen Akaların kurduğu medeniyet
Helyum,,"Solunduğunda, insan sesini komikleştiren gaz"
Başrol,,Tiyatro ve sinemadaki en önemli karakter
Kental,,100 kilograma denk gelen ağırlık
Amazon,,Balta girmemiş yağmur ormanlarıyla ünlüdür
Uyarma,,ikaz etme
Lavanta,,Isparta'nın Kuyucak Köyü bu çiçekle bezelidir
Van gölü,,Nemrut Dağı'nın patlamasıyla oluşmuş dev su örtüsü
Nakarat,,Şarkıcılar konserde bu kısmı seyirciye söyletir
Bulmaca,,"Çengel, kare, sudoku gibi türleri olan oyun"
Tiramisu,,Beni yukarı çek anlamına gelen İtalyan tatlısı
Tulumba,,Kuyulardan su çekmeye yarayan alet
Şantiye,,İnşaat alanı
Meşrubat,,Alkolsüz içeceklerin geneline verilen ortak isim
Konserve,,"Uzun süre dayanabilen, teneke kutudaki hazır yemek"
Solungaç,,Su canlılarının nefes alma organı
Şartname,,İhale koşullarını listeleyen belge
Yedi emin,,Haczedilen malları korumakla görevli kişi
Kem gözlü,,Bakışlarıyla zarar verdiğine inanılan kişiye denir
Plankton,,"Mikroskobik, tek hücreli su canlılarının genel adı"
Lale orta,,Türkiye'nin FIFA kokartlı ilk kadın hakemi
Laborant,,Laboratuvar çalışanı
Mobydıck,,Balıkçı ile beyaz balinayı anlatan roman
Gökbakar,,"Celal ile Ceren filminin Celal'i, Şahan __"
Talimhane,,Askerlerin alıştırma yapması için hazırlanmış alan
Çitlembik,,Menengiç bitkisinin halk ağzındaki ismi
Masumiyet,,Zeki Demirkubuz'un 1997'de çektiği film
Analjezik,,Ağrıyı ortadan kaldıran ilaç
Balaklava,,Tüm başı saran bere; kar maskesi
Batonsale,,Hamurdan yapılan ince uzun tuzlu çubuk
Maviciler,,Garip akımına karşı doğan edebi akım
Kırkpınar,,Pehlivanların yarıştığı tarihi güreş turnuvası
Çuvaldızı,,"İğneyi kendine, __ başkasına batır"
Sismograf,,Yer titreşimlerini kaydeden alet
Munzur,,Tunceli'de bulunan dağ ile aynı isimli çay
Troposfer,,Atmosferin yere temas eden ilk kısmı
Anayarısı,,Teyzelere yapılan yakıştırma
Bumbar,,Koyunun kalın bağırsağından yapılan dolma
Yazıcı,,Bilgisayardaki dijital evrakı kağıda basan cihaz
Öpücük,,Muck sesiyle tarif edilir
Makyaj,,Yüze yapılan kozmetik müdahale
Sadaka,,Dilenciye verilen para
Araştırma,,Şirketlerde ürün geliştirme öncesi yapılan tetkik
Yavruağzı,,Turuncunun bir tonu
Havacılık,,"Yeşilköy'de müzesi olan, uçmaya dayalı sektör"
Pamukkale,,Denizli'de travertenleri ile meşhur yer
Portmanto,,Evlerin girişinde kullanılan aynalı askılık
Kartezyen,,Descartes öğretisini benimseyen kimse
Tayyare,,Eski dilde uçak
James bond,,007 kod adlı kurmaca ajan karakteri
Arpacık,,Göz kapağında oluşan ağrılı şişlik ve kızarıklık
Filinta,,Elde taşınabilir kısa ve ateşli bir silah
Kutlama,,Sevinç veren olaylar için düzenlenen coşkulu tören
Pavlova,,Adını ünlü bir Rus balerinden alan tatlı
Bob ross,,Mutlu ağaçlar çizen kıvırcık saçlı TRT ressamı
Ganimet,,Savaşta ele geçirilen her türlü mal
Postane,,Mektup alınan ve gönderilen kurum
Banknot,,Kağıda basılı nakit
Telefon,,Uzakta olan insanların konuşmasını sağlayan alet
Sollama,,Trafikte bir arabayı geçme
Kemençe,,Karedeniz yöresine ait bir müzik aleti
Kocaoğlan,,Halk arasında ayı yerine kullanılan isim
Kıbrıs,,Yarısında Türklerin yaşadığı ada
Davutoğlu,,"Ahmet __, Stratejik Derinlik kitabının yazarı"
Hacamat,,Kan almaya dayalı geleneksel tedavi yöntemi
Anadolu,,"__ Grubu, Coca Cola'nın Türkiye üreticisi"
Guevara,,"Ernesto Che __, Güney Amerikalı sosyalist devrimci"
Bakarız,,Bir teklife karşılık verilen zamana bırakma cevabı
Van gölü,,İçinde canavar yaşadığı rivayet olunan göl
Kızılay,,Afet durumunda halka yardım eden devlet kurumu
Mersin,,İçel'in merkez ilçesi
Kılıbık,,"Karısının sözünden çıkamayan, korkak erkek"
Palmiye,,Bir kurabiyeye adını veren ağaç türü
Habbeyi,,__ kubbe yapmak; Küçük olayları fazla büyütmek
Ikizler,,Astrolojik sıralamaya göre üçüncü burç
Moskova,,Metrosuyla ünlü bir başkent
Hatasız,,__ kul olmaz
Larry king,,CNN kanalında 25 yıl boyunca talk show sunan kişi
Boko haram,,Nijerya kökenli radikal dinci terör örgütü
Aralıksız,,"Hiç boşluk olmadan, sürekli olarak"
Kiloton,,1000 tona eşit kütle ağırlık birimi
Misafir,,"Eve gelen ziyaretçi, konuk"
Bellini,,"Gentile __, Fatih'in portresini yapan ressam"
Komodin,,Yatağın yanı başına konulan çekmeceli dolap
Şehzade,,Osmanlı padişahlarının oğullarına verilen unvan
Seagate,,İrlanda merkezli sabit disk üreticisi firma
Andante,,Bir enstrümanın yavaş ve tempolu çalınması
Anayurt,,"Yusuf Atılgan romanı, __ Oteli"
Gizleme,,"Bir şeyi göstermemeye çalışma, saklama"
Şemsiye,,Aslen güneşten korunmak için icat edilmiş eşya
Avizeci,,Aydınlatma gereçleri imalat veya satıcısı
Sollama,,"Trafikte, öndeki aracı geçmenin kurala uygun yolu"
Pandora,,Açılmaması gereken mitolojik kutunun sahibi
Ebeveyn,,Anne ve baba
Pedikür,,Ayak tırnaklarına yapılan bakım
Emir eri,,Subaylara hizmet eden rütbesiz asker
Incirlik,,Amerikan askeri üssü bulunan Adana ilçesi
Korutürk,,"Fahri __, Türkiye'nin altıncı cumhurbaşkanı"
Survivor,,"Dominik'te çekilen, TV8'in yarışma programı"
Kızartma,,Kızgın yağda pişirilen
Marakeş,,Fas'ın Kızıl Şehir olarak bilinen turistik şehri
Pesimist,,Kötümser bakış açısına sahip kimse
Konçerto,,Sanatçının enstrümanda ustalığını gösteren eser
Sübvanse,,"__ etmek, bir şirkete parasal destek vermek"
Hıdırlık,,Antalya'da yer alan alt kısmı kare şeklindeki kule
Çöpçatan,,Evlenmek isteyenleri tanıştıran kişi
Dikenine,,Gülü seven __ katlanır
Titreşim,,"Eskiden, MSN'de sohbet edilen kişiyi dürtme şekli"
Aloevera,,Kozmetikte kullanılan şifalı bir bitki
Tirbuşon,,Mantardan yapılan tıpaları çekmeye yarayan nesne
Kızartma,,Kızgın yağda pişirilen yemek türü
Lejyoner,,Roma ordusundaki paralı askerlere verilen ad
Sarımsak,,"Tansiyon düşürmede etkili, kokulu bir sebze"
Forklift,,"Yükleri kaldıran, taşıyan, istifleyen makine"
Espadril,,"Tabanı hasırdan, bez ayakkabı türü"
Filateli,,Pul koleksiyonculuğu
Yönetmen,,Rejisör
Terazi,,Ağırlık ölçmeye yarayan mekanizmalı araç
Milföy,,Fransızcada bin yaprak anlamına gelen hamur türü
Sensör,,Hareket algılayarak çalışan düzenek
George,,Amerikan başkanlığı yapmış Bush'ların adı
Ceylan,,Gözlerinin güzelliği ile bilinen bir hayvan
Gececi,,İşe hava karardıktan sonra başlayan görevli
Ustura,,Berber çırağı bununla balonu tıraş edip sınav olur
Panama,,Kuzey ve Güney Amerika arasındaki kanal ülkesi
Kimlik,,Vatandaşlık bilgilerinin yazılı olduğu küçük belge
Şovmen,,Gösteri yapan adam
Balata,,Motorlu araçlarda durmayı sağlayan fren parçası
Reyhan,,"Fesleğene benzeyen, mor renkli bitki"
Mermer,,Banyoda ve mutfakta kullanılan doğal taş
Lafazan,,Çok ve gereksiz konuşan kişi; geveze
Yazıtura,,Madeni parayla oynanan şans oyunu
Dondurma,,Genelde yazın yenen sütlü soğuk tatlı
Çalışkan,,Öğretmenler ve patronların sevdiği kişi
Tinnitus,,Kulak çınlaması rahatsızlığı
Reverans,,Dizleri hafif kırarak verilen asilzade selamı
Potasyum,,"Simgesi K olan, muzda bolca bulunan bir element"
Tuhafiye,,"Kurdele, dantel gibi süs eşyaları satan dükkan"
Paraguay,,Güney Amerika'da denize kıyısı olmayan bir ülke
Bindallı,,Gelinin kına gecesinde giydiği kıyafet
Internet,,Uluslararası bilgi ve iletişim ağı
Yazıtura,,Madeni parayı havaya atarak oynanan şans oyunu
Hücumbot,,Hızlı hareket eden küçük savaş gemisi
Müderris,,Osmanlı medreselerinde eğitim veren kişi
Görmedim,,"__ Duymadım Bilmiyorum, Üç maymunun sözü"
Çalışkan,,Derslerini aksatmayan öğrenci
Ilahiyat,,"Teoloji, tanrı bilimi"
Piyanist,,İkinci Dünya Savaşı'nda bir müzisyeni anlatan film
Sıvışmak,,"Bir yerden fark edilmeden, gizlice uzaklaşmak"
Fethiye,,Kabak Koyu'na evsahipliği yapan Muğla ilçesi
Harlama,,Ateşi arttırma çabası
Nakarat,,Şarkıların tekrar edilen kısmı
Papatya,,Çayı ve falı ile meşhur olan çiçek
Hacivat,,Karagöz oyunundaki bilgiç karakter
Çok özel,,Medyum Memiş'in Medyum Keto'yu tokatladığı program
Ihlamur,,Çayı kış aylarında şifa olarak içilir
Ulysses,,James Joyce'un 1922'de yayınlanan romanı
Maskara,,Kirpikleri belirginleştiren makyaj malzemesi
Uvertür,,Perde açılmadan önce çalınan açılış parçası
Reyting,,Televizyon programlarının izlenme oranı
Sinerji,,Bir iş için birleştirilen güçlerin ortak enerjisi
Bolivya,,Dünyanın en büyük tuz gölünün bulunduğu ülke
Harlama,,Yakılan ateşi artırma çabası
Mevzuat,,Bir ülkedeki yasa ve yönetmeliklerin tamamı
Papatya,,Çayı ve falı ile bilinen çiçek
Avrasya,,İstanbul'da iki kıtayı birleştiren tünel
Zargana,,"Sivri burunlu, yılan gibi ince yapılı bir balık"
Karamel,,Eriyen ve kahverengileşen şeker
Embriyo,,Anne karnındaki bebeğin ceninden önceki hali
Beckham,,"David __, Gol filminde oynayan ünlü futbolcu"
Pelerin,,Süper kahramanların taktığı uzun düz üstlük
Piyango,,Yılbaşında büyük ikramiye veren çekiliş
Şambrel,,Denizde yüzmek için de kullanılan siyah iç lastik
Arkadaş,,Yılmaz Güney ve Melike Demirağ'ı buluşturan film
